ID;Origem;Modal;Segmento
2629446;EmpresaParceira;MOTORCYCLE;Fiel
784;EmpresaParceira;BIKE;Fiel
2622992;EmpresaParceira;MOTORCYCLE;Fiel
62999;AutoCadastro;MOTORCYCLE;Fiel
3333;EmpresaParceira;BIKE;Fiel
6642;EmpresaParceira;BIKE;Fiel
521255;AutoCadastro;MOTORCYCLE;Fiel
1143326;AutoCadastro;BIKE;Fiel
1457124;AutoCadastro;MOTORCYCLE;Desistiu
1230324;AutoCadastro;MOTORCYCLE;Fiel
503692;AutoCadastro;BIKE;Fiel
822247;AutoCadastro;MOTORCYCLE;Fiel
1740815;AutoCadastro;MOTORCYCLE;Fiel
4307;EmpresaParceira;BIKE;Fiel
1583700;AutoCadastro;MOTORCYCLE;Fiel
580654;AutoCadastro;BIKE;Novo
1995521;AutoCadastro;MOTORCYCLE;Fiel
1605982;AutoCadastro;CAR;Desistiu
568333;AutoCadastro;MOTORCYCLE;Desistiu
5899;EmpresaParceira;BIKE;Fiel
1187197;EmpresaParceira;MOTORCYCLE;Fiel
2296379;AutoCadastro;MOTORCYCLE;Fiel
955871;AutoCadastro;MOTORCYCLE;Fiel
85748;AutoCadastro;MOTORCYCLE;Fiel
604;EmpresaParceira;BIKE;Fiel
231018;AutoCadastro;MOTORCYCLE;Fiel
76293;AutoCadastro;MOTORCYCLE;Fiel
